comment,n_star,date_time,label
điện thoải ổn facelock cực nhanh vân tay ôk màn_hình lớn pin trâu liên_quân zalo youtube một ngày mất khoảng 45 tuy chip 439 mượt đa_nhiệm khá ổn,5,5/2/2020,Positive
mình mới mua vivo91c tải ứng_dụng games nhanh hài_lòng cài hình nền khóa màn_hình hay mình biết hết chức_năng nó tư_vấn viên nhiệt_tình,5,14/05/2019,Positive
xấu đẹp ko biết ưng tgdđ phục_vụ tuyệt_vời mua ở tgdđ mòn đít mua dài_dài ủng_hộ tgdđ,5,26/03/2020,Positive
màn_hình hơi lác chơi game game nặng mình chơi ở 2 bên loa ngoài sao nó dùng 1 bên mình hỏi máy bạn hả hay máy mình lỗi,4,4/6/2019,Negative
nói_chung máy đẹp màn amoled ổn trong tầm giáhơi tiếc thời_lượng pin k cao quảng_cáo,4,12/5/2020,Positive
đt 3 lỗi 1 chế dô bỏ_túi 2 ánh_sáng điện_thoại 3 nhấp đúp màn_hình ko nhạy lắm còn tốt,4,22/04/2020,Negative
thật tuyệt máy mượt túi thích thế_giới di_động chỗ giá khác túi hiểu đánh_giá 5sao thế_giới di_động phương phú châu 5sao nhân_viên ok,5,3/6/2020,Negative
sản_phẩm tốt pin sài cả ngày hết chơi game lướt web mượt chụp hình đẹp cầm tay đáng đồng_tiền,5,21/10/2017,Positive
mua đc 1 tuần đt sài khá tốt giá tầm trung v ok lắm pin cực_kì mạnh điểm yếu cam trc thôi cam đẹp lắm nha mọi người sài kĩ một_tí máy tốt lắm máy gần 4tr chê chê nọ sao v tốt lắm,5,11/5/2020,Positive
pin nhanh hết vân tay đk nhạy nhân vien tgdd tư_vấn nhiệt_tình dễ_thương 5 sao về phong_cách bán hàng,2,7/2/2020,Negative
mới sài cặp nứt màn nứt k bảo_hành thay màn gần bằng máy mới chán,1,22/07/2020,Negative
máy thiết_kế quá đẹp dùng dk mấy hôm r thấy máy ổn tiếc pin tụt quá nhanh pin sạc nhanh nóng,2,4/5/2020,Positive
nâng_cấp phiên_bản mới pin sụt nhanh nghĩ chán,2,28/05/2020,Negative
dùng 1 tháng ok sang tháng thư 2 bắt đau lỗi chán quá săp nguồn chết k dc còn kêu tắt tình ắng chế_tài nghe j ý,2,3/6/2020,Negative
mình mua đc 1 tuần tình_trạng pin còn 98 đổi đc hk vs đứng máy thấy nản quá,1,15/04/2020,Negative
mua xong muốn trả máy camera quá tệ cả camera lẫn khuyên ai chụp ảnh mình k lấy con,2,16/07/2020,Negative
may mới mua 1 tháng pin ổn chụp hình xấu viền máy mới tróc sơn quá thất_vọng,1,18/05/2019,Negative
app ngân_hàng chặn đăng_nhập vân tay k đáng_giá 27tr mua về chip yếu giờ chặn chức_năng vân tay trong màn_hình,1,6/11/2019,Negative
mọi thứ okmình thấy pin trâu sao đâumua đc 2 tuần cảm_biến vân tay ko nhạy mong_đợi thôi,4,8/4/2020,Positive
máy nâng_cấp bản cập_nhật sửa lỗi bluetooth nghe nhạc bluetooth ngon_lành,5,26/01/2020,Positive
máy cũng xài tạm ổn màn_hình nó ko được nhay nhiều lúc phải bấm vài lần mới được,2,9/9/2019,Negative
máy mượt dùng tốt pin ok chụp hình đẹp mới mua về thời_gian dùng tiếp,5,11/5/2020,Positive
máy quá kém chơi game giật giật máy mau nóng quá hợp giá 13 triệu giờ xài oppo giờ mua samsung kg dám mua thứ 2quá tệ,1,21/04/2020,Negative
khá ngon trong tầm giá màn_hình lớn chơi game xem phim ngon chip khá mạnh hơi ấm tí,4,10/5/2020,Positive
em hỏi máy em mua 1 tuần máy lâu_lâu em nghe cốc lỏng ở trong vấn_đề j k anh,1,4/5/2019,Negative
vài ngày sd sp thấy đt cx tạm ổn xài xạc cảm_ứq đơ pin tuột nhanh vân tay xài cx khá ổn,4,5/8/2019,Negative
hàng sài tạm mượt lắm vi xử_lý kém chơi game lien quan_yếu,1,5/4/2020,Negative
