comment,n_star,date_time,label
pin kém còn miễn chê mua 832019 tình_trạng pin còn 88 ai giống tôi,5,14/09/2019,Neutral
sao gọi điện_thoại màn_hình chấm nhỏ nháy gần camera vậylúc,3,17/08/2020,Negative
mọi người cập_nhật phần_mềm nó bớt tốn pin mình thử mọi thứ ok vân tay ko nhạy,3,29/02/2020,Neutral
mới mua sài 1 tháng thấy pin trâu sài bao mượt 1 lỗi nhỏ mình nghe nhạc bằng tai_nghe nghe hơi lâu ko biết sao nó ko nghe mất rút tai_nghe cắm nó mới nghe,5,4/6/2020,Positive
xài tốt mượt pin trâu bạn độ sáng đủ nhân_viên nhiệt_tình vui_vẻ nói_chung tầm giá máy quá tốt,5,20/06/2019,Positive
hôm ngày 2362020 e thế_giới di_động mua dthoai galaxy a51 đầu bên cửa_hàng báo_giá 779000đ tặng phiếu mua hàng 250k thanh_toán nhân_viên thanh_toán 7990000đ phiếu mua hàng đi 20km xuống mua thoai tối về đến nhà nhân_viên mới gọi đến xin_lỗi sai xót bảo mình xuống nhận phiếu mua hàng 250k chán quá đúng làm mất thời_gian,2,23/06/2020,Negative
sao điện_thoại mới sạc nó nóng máy quá trời t_tắt tất_cả mạng ứng dung game cấm ko chạy nền ko sạc dùng điện_thoại nóng quá trời sạc 3 tiếng mới đầy,2,23/12/2019,Negative
đầu định mua samsung shop nhân_viên tư_vấn oppo a9 thất_vọng thực dùng oppo màn_hình hiển_thị tối_om máy chơi game giật lang khó_chịu vl sạc lâu k bao_giờ dungg oppo,1,31/05/2020,Negative
mọi thứ ngon trong tầm giá lần đầu xài xiaomi cảm_thấy hài_lòng về chất_lượng,5,30/05/2020,Positive
đi thoại mượt chơi game ngon âm báo_thức bật maxloa luôn nghe nhỏ nhân_viên phục_vụ nhiệt_tình,4,7/6/2019,Positive
máy tốt trong tầm giá pin trâu màn_hình đẹp to camera đẹp chơi tựa game ở cấu_hình ổn cảm_biến vân tay quang_học trong màn_hình hơi chậm k hỗ_trợ chụp đêm chụp trong đêm hơi xấu còn nv phục_vụ nhiệt_tình chu_đáo,5,16/07/2020,Positive
sản_phẩm quá tuyệt_vời iphone 7plus camera đẹp chơi game sợ 1 game nào nặng cả mượt game nào đồ_họa cao chơi sụt pin nhanh máy nóng sao iphone 7 plus tuyệt_vời lắm,5,18/04/2018,Positive
dùng ok mượt k nóng đt 5 6 triệu mở max cấu_hình ròi kêu nóng nhân_viên nhiệt_tình,5,7/12/2019,Positive
mới mua 1 ngày ck dùng j6 còn mình dùng con wifi ck m nào 3 vạch dt 2 vạch 1 vạch đứng luôn k hieur sao dùng thấy bực_mình,3,18/11/2019,Negative
lỗi phầm mềm sạc pin ko đem bảo_trì cài máy ko hết lỗi mua quả máy 4tr100k ram 3gb về chơi pubg lag vãi chưởng,1,17/03/2020,Negative
máy dùng tốt tầm giá khá nhanh_nhạy pin trâu lần đâu tiên mua máy tới 2tr ưng ghê luôn á mọi người mua,5,30/03/2020,Positive
sạc pin 100 r k 10h k hao nào s mọi người kêu hao pin nhanh s nhỉ mình thasy pin trâu lun,5,1/7/2020,Positive
mình hỏi tắt quảng_cáo điện_thoại ạ mới mua về vài hôm nó tụ phát quảng_cáo hoài ngày mình khoá màn_hình chạy quảng_cáo mong phản_hồi,5,5/1/2020,Negative
tất_cả mọi thứ ổn hết màn_hình đẹp máy chạy êm pin sạc nhanh màu mặt lưng đẹp tiết ở phần thiết_kế chi loa ngoài đặt ở bên hông thay đặt ở cạnh tay đè loa sử_dụng í lo chính bản_thân đè quá làm loa hư thêm 1 nhỏ_xíu xiu mới mua hôm giảm 500000đ nay xem tuột xuống đươc giảm hẳn 1000000đ tức ghê,4,17/01/2020,Positive
điện_thoại thiết_kế sang_trọng cameraa chụp ảnh tốt pin dùng ổn_định máy dùng mượt đơ,5,19/08/2018,Positive
máy màn_hình lớn nhận_diện khuôn_mặt nhanh trong đk trời sáng cấu_hình tạm ổn tác vụ cơ_bản pin trâu nv tgdd nhiệt_tình còn ctkm tặng tai_nghe tgdd làm tốt mua máy chi_nhánh tai_nghe khg hàng đợi 1015 ngày tgdd rút kinh_nghiệm về ctkm kiểu,5,4/3/2019,Positive
mua tương_xứng trong phân khúc chụp ảnh kém mờ pin trâu,1,15/03/2020,Negative
cập_nhật ổn camera xấu xấu tệ hy_vọng cập_nhật camera tốt hơn bản,3,14/06/2019,Neutral
mới dùng đc tầm nửa tháng thấy khá ok mượt chơi game mức_độ mặc_định ok pin đc lâu sạc nhanh,5,18/02/2020,Positive
mình mua máy samsung a20s 4 ngày nói_chung máy xài ổn trong tầm giá pin trâu chơi game xài 2 đến 3 ngày còn chơi game liên_quân tầm 1 ngày chụp hình đẹp máy mượt lâu_lâu cảm_biến vân tay nhạy ngón tay hơi ướt xíu máy nhận vân tay luôn ốp lưng xài hơi xót xíu mình làm trong môi_trường chăn_nuôi bụi cám kia,5,24/10/2019,Positive
sao thoảng tôi mở máy đợi 510s màn_hình mới nó làm tôi thấy khó_chịu còn ok,4,7/5/2020,Neutral
iphone luôn ổn_định thiết_kế mới lỗi_thời mình cầm con iphone nào mình nghĩ pin nó đủ xài trong ngày bạn nào bảo pin nó yếu một ngày xài quá thôi thích iphone lâu tội tài_chính eo_hẹp tich góp cuối năm rước một e zìa quê luôn,5,28/05/2017,Positive
mua đag dùng thất_vọng camera mờ hay nổi quảng cáopin xuống rraats nhanh khuyên mọi người đừng mua,1,22/02/2020,Negative
lỗi lưu ảnh viền 4 góc sáng khá bực mong xiaomi việt_nam sớm cách khắc_phục,1,19/04/2020,Negative
tôi nghĩ nó 4 star 12tr tầm giá rẻ rách đường truyền chập_chờn nó tôi đánh_giá 5 star,4,25/12/2019,Neutral
máy dùng ok cài khóa mk vân tay khuôn_mặt mở ko vuốt mở đc còn ổn bluetooth bình_thường pin lâu nhạc hay,4,23/01/2020,Positive
máy chs game khá mượtpin trâu mọi vấn_đề ok sản_phẩm trong tầm giá quá tuyệt_vời,5,19/06/2020,Positive
điện_thoại đẹp màn_hình rõ nghe gọi ok chụp hình đẹp giá tầm quá ok nhân_viên tgdd thoại_sơn an giang cực_kỳ dễ_thương luôn,5,25/01/2020,Positive
xài ok máy mượt chụp ảnh đẹp sạc nhanh sao bạn chê tào_lao quá pin 4k xài 1 ngày tốt,5,21/12/2019,Positive
s20 ultra mức giá bằng oppo find x2 mua find x2 oppo hơn hẳn con ultra về cấu_hình màn_hình pin tốc_độ sạc ultra hơn về chụp ảnh thôi còn oppo find x2 max mượt max phê,4,10/6/2020,Negative
máy mới mua về xài 10 bựa tự_tiện đo treo logo 10p mới khỏi ding tính_năng chụp màn_hình nứt nguồn giảm âm_lượng chụp,1,22/01/2020,Negative
1 tuần sử_dụng mình đánh_giá về camera thấy bình_thường cam truớc tốt lắm cấu_hình bằng con vsmart 5tr máy đẹp nhẹ mỏng pin tạm ngày sạc pin 1 lần bạn nào mua màn đẹp vs camera mua còn mua chơi game ko lựa,4,1/4/2020,Positive
sản_phẩm tai_nghe hả bạn mình mua bên tgdd noi la_k tai_nghe đúng k ạ,1,29/02/2020,Negative
sản_phẩm đẹp tuyệt_vời hi_vọng trong qtrinh sd k xảy lỗi nv nhiệt_tình ms,5,16/09/2019,Positive
mua lâu vân tay quá kém dí mãi mới mở đc chơi game vd liên_quân cảm_ứng ko nhạy kém máy nóng thỉnh_thoảng đơ 1 tý ko mạng hay fpslúc chơi loa ngoài chơi game khá nhỏ bạn nào hay chô game chọn con khác con sang chảnh đc,1,7/10/2019,Negative
máy okmượtchơi game quá đỉnhcó pin hơi tụt okvừa vs túi_tiền ok,5,17/04/2019,Positive
note10 bin tệ máy ko xài tuột phần_trăm sạt đầy 100 pin ko xài ság tới tối về nhìn còn 40 60 pin kia ko làm dì sao mất nhỉ máy mua dk 1 tuần pin tệ,1,1/9/2019,Negative
mình mua dùng chơi game khỏi nói còn về xem phim youtube bật sd mờ điện_thoại khác bật sd,5,23/12/2019,Neutral
máy xịn thứ nhất chơi game mượt chíp snap thứ hai pin trâu xài cả ngày còn 50 thư ba màn_hình đẹp chụp hình sáng,5,31/01/2020,Positive
mình mới mua hồi chiều minh vo cài_đặt tìm ram thấy mình hỏi ram nó nằm ở đâu,5,14/08/2020,Negative
mọi thứ xài khá ok pin tuột nhanh kinh_khủng xài tuột 100 chực 5p còn 95 ý game,1,8/2/2020,Neutral
thấy mọi người đánh_giá lỗi phần_mềm bạn mua máy phần_mềm cập_nhật mình mua máy một tháng dùng ok một lỗi nào xiaomi update phần_mềm fix lỗi hết bạn yên_tâm mua nhé,5,29/07/2020,Positive
dùng tạm tạm camera quá tệ phần_mềm cài ứng_dụng mặc_định vinid mua sắmquá mua điện_thoại dùng cá_nhân mua điện_thoại vinmart quảng_cáo giá rẻ đáng bỏ tiền mua,1,7/1/2020,Negative
máy mượt pin trâu xạc pin nó ấm ấm z nguy_hiểm_ad ngoài tốt,5,24/03/2020,Positive
e hỏi máy mua một năm r dạo gần pin hay tụt nhanh lắmgiúp em cách khác phục,5,20/07/2020,Negative
sản_phẩm xài tốt 2 tháng thấy lỗi nào xài tốt chơi pubg call ò duty mobile max seettings ko gật lag nào hết,5,21/10/2019,Positive
pin sạc 3 tiếng 15100 pin trâu camera chụp hình khá đẹp trong kiện sáng tốt chế_độ chụp cảnh buổi tối khá tốt cảm_biến vân tay nhạy thao_tác xem phim nghe nhạc lướt web mượt quay_phim chống rung tốt loa đủ nghe ấm màn_hình hiển nét mình k biết rổ hay đánh_giá 2 ngày mình sử_dụng điện_thoại tốt trong tầm giá 3 triệu đòi_hỏi về game hay thao_tác nặng hơn,5,18/03/2020,Positive
