comment,n_star,date_time,label,positive_count,neutral_count,negative_count
pin kém còn miễn chê mua number tình_trạng pin còn number ai giống tôi,5,14/09/2019,Neutral,1,0,1
sao gọi điện_thoại màn_hình chấm nhỏ nháy gần camera vậylúc,3,17/08/2020,Negative,0,0,1
mọi người cập_nhật phần_mềm nó bớt tốn pin mình thử mọi thứ ok vân tay ko nhạy,3,29/02/2020,Neutral,0,2,1
mới mua sài number tháng thấy pin trâu sài bao mượt number lỗi nhỏ mình nghe nhạc bằng tai_nghe nghe hơi lâu ko biết sao nó ko nghe mất rút tai_nghe cắm nó mới nghe,5,4/6/2020,Positive,2,0,1
xài tốt mượt pin trâu bạn độ sáng đủ nhân_viên nhiệt_tình vui_vẻ nói_chung tầm giá máy quá tốt,5,20/06/2019,Positive,3,2,0
hôm ngày number e thế_giới di_động mua dthoai galaxy anumber đầu bên cửa_hàng báo_giá numberđ tặng phiếu mua hàng numberk thanh_toán nhân_viên thanh_toán numberđ phiếu mua hàng đi numberkm xuống mua thoai tối về đến nhà nhân_viên mới gọi đến xin_lỗi sai xót bảo mình xuống nhận phiếu mua hàng numberk chán quá đúng làm mất thời_gian,2,23/06/2020,Negative,0,0,1
sao điện_thoại mới sạc nó nóng máy quá trời t_tắt tất_cả mạng ứng dung game cấm ko chạy nền ko sạc dùng điện_thoại nóng quá trời sạc number tiếng mới đầy,2,23/12/2019,Negative,0,0,1
đầu định mua samsung shop nhân_viên tư_vấn oppo anumber thất_vọng thực dùng oppo màn_hình hiển_thị tối_om máy chơi game giật lang khó_chịu vl sạc lâu k bao_giờ dungg oppo,1,31/05/2020,Negative,0,0,4
mọi thứ ngon trong tầm giá lần đầu xài xiaomi cảm_thấy hài_lòng về chất_lượng,5,30/05/2020,Positive,2,1,0
đi thoại mượt chơi game ngon âm báo_thức bật maxloa luôn nghe nhỏ nhân_viên phục_vụ nhiệt_tình,4,7/6/2019,Positive,2,0,1
máy tốt trong tầm giá pin trâu màn_hình đẹp to camera đẹp chơi tựa game ở cấu_hình ổn cảm_biến vân tay quang_học trong màn_hình hơi chậm k hỗ_trợ chụp đêm chụp trong đêm hơi xấu còn nv phục_vụ nhiệt_tình chu_đáo,5,16/07/2020,Positive,5,2,1
sản_phẩm quá tuyệt_vời iphone numberplus camera đẹp chơi game sợ number game nào nặng cả mượt game nào đồ_họa cao chơi sụt pin nhanh máy nóng sao iphone number plus tuyệt_vời lắm,5,18/04/2018,Positive,2,1,1
dùng ok mượt k nóng đt number triệu mở max cấu_hình ròi kêu nóng nhân_viên nhiệt_tình,5,7/12/2019,Positive,3,0,0
mới mua number ngày ck dùng jnumber còn mình dùng con wifi ck m nào number vạch dt number vạch number vạch đứng luôn k hieur sao dùng thấy bực_mình,3,18/11/2019,Negative,0,0,1
lỗi phầm mềm sạc pin ko đem bảo_trì cài máy ko hết lỗi mua quả máy numbertrnumberk ram numbergb về chơi pubg lag vãi chưởng,1,17/03/2020,Negative,0,1,2
máy dùng tốt tầm giá khá nhanh_nhạy pin trâu lần đâu tiên mua máy tới numbertr ưng ghê luôn á mọi người mua,5,30/03/2020,Positive,3,1,0
sạc pin number r k numberh k hao nào s mọi người kêu hao pin nhanh s nhỉ mình thasy pin trâu lun,5,1/7/2020,Positive,1,0,0
mình hỏi tắt quảng_cáo điện_thoại ạ mới mua về vài hôm nó tụ phát quảng_cáo hoài ngày mình khoá màn_hình chạy quảng_cáo mong phản_hồi,5,5/1/2020,Negative,0,0,1
tất_cả mọi thứ ổn hết màn_hình đẹp máy chạy êm pin sạc nhanh màu mặt lưng đẹp tiết ở phần thiết_kế chi loa ngoài đặt ở bên hông thay đặt ở cạnh tay đè loa sử_dụng í lo chính bản_thân đè quá làm loa hư thêm number nhỏ_xíu xiu mới mua hôm giảm numberđ nay xem tuột xuống đươc giảm hẳn numberđ tức ghê,4,17/01/2020,Positive,4,1,1
điện_thoại thiết_kế sang_trọng cameraa chụp ảnh tốt pin dùng ổn_định máy dùng mượt đơ,5,19/08/2018,Positive,4,0,0
máy màn_hình lớn nhận_diện khuôn_mặt nhanh trong đk trời sáng cấu_hình tạm ổn tác vụ cơ_bản pin trâu nv tgdd nhiệt_tình còn ctkm tặng tai_nghe tgdd làm tốt mua máy chi_nhánh tai_nghe khg hàng đợi number ngày tgdd rút kinh_nghiệm về ctkm kiểu,5,4/3/2019,Positive,3,2,0
mua tương_xứng trong phân khúc chụp ảnh kém mờ pin trâu,1,15/03/2020,Negative,1,1,2
